regime,layout,signal,mean_return_auc,ci_low,ci_high
frozen,aligned,epistemic,0.6104992351974294,0.6041432860285482,0.6165868135777445
frozen,aligned,aleatoric,0.5805758007377461,0.5737501708109988,0.5871723852060071
frozen,aligned,total,0.6012647856095481,0.5949254034361112,0.6071798602790952
frozen,aligned,point,0.5385701941979181,0.5342558054809962,0.5428884171507644
frozen,aligned,shuffled,0.534683720426417,0.5291953578394061,0.5399906131578674
frozen,aligned,uniform,0.5332702306542189,0.526918189061209,0.5393954570821737
frozen,aligned,count,0.5353376698918205,0.5317597300016494,0.5386134508909839
frozen,decorrelated,epistemic,0.518567819880952,0.5125390976914144,0.5249017071022881
frozen,decorrelated,aleatoric,0.5184095950043088,0.5103206874889195,0.5265639161561342
frozen,decorrelated,total,0.518358382159069,0.5121449906617896,0.5247493289469658
frozen,decorrelated,point,0.5221559442758149,0.5165912793219701,0.5277889407088558
frozen,decorrelated,shuffled,0.5226815170069335,0.516665281153987,0.529076326392631
frozen,decorrelated,uniform,0.5190546116716686,0.5108901691829499,0.5271627269675006
frozen,decorrelated,count,0.5223997879047233,0.5189697107276624,0.5258205523676416
frozen,anti,epistemic,0.4395007648025707,0.43339970588945986,0.44602103231160256
frozen,anti,aleatoric,0.4694241992622539,0.4627914335902507,0.47639071849994286
frozen,anti,total,0.44873521439045183,0.4427687309496968,0.45516885968075643
frozen,anti,point,0.511429805802082,0.5070935788549943,0.515825686774538
frozen,anti,shuffled,0.5153162795735828,0.510008458030619,0.5207781182986982
frozen,anti,uniform,0.5167297693457812,0.5106247884492069,0.5230206422098358
frozen,anti,count,0.5146623301081794,0.5113983079959303,0.5180907489859728
online,aligned,epistemic,0.5823002368057875,0.576704600736344,0.5875865678873587
online,aligned,aleatoric,0.6032807799304836,0.5956698776736229,0.610209769636266
online,aligned,total,0.5856156126491421,0.58021841769987,0.5906659193306364
online,aligned,point,0.5549227075070845,0.5498849321153267,0.5596462664224947
online,aligned,shuffled,0.5538889443761285,0.5480834772202434,0.5594796519510952
online,aligned,uniform,0.5584276238725892,0.5504616726573628,0.5663725680945163
online,aligned,count,0.5479158560595393,0.5439983243165636,0.5517428898059161
online,decorrelated,epistemic,0.5304883518836885,0.525483271760562,0.5356577367622036
online,decorrelated,aleatoric,0.5303159438537596,0.5226489009486222,0.5380770336931587
online,decorrelated,total,0.5320878005514499,0.5267780361455491,0.5376215822649567
online,decorrelated,point,0.5306862613640451,0.5258509531256409,0.5355146367951784
online,decorrelated,shuffled,0.5336211195477268,0.5289227354422432,0.538323386404741
online,decorrelated,uniform,0.5362314756635252,0.5297840544111865,0.5428192668263035
online,decorrelated,count,0.5298301958225223,0.5265769988781058,0.5329873344075663
online,anti,epistemic,0.5070940150345268,0.5028081291620241,0.5113444134680896
online,anti,aleatoric,0.4911016312760488,0.4856670859310438,0.49669642400883546
online,anti,total,0.5050415001605802,0.5008361565488837,0.5094387009881554
online,anti,point,0.5326582807919116,0.52856798789327,0.5368617974885302
online,anti,shuffled,0.5338164340231706,0.5293143827273031,0.538495460952103
online,anti,uniform,0.5281082796340734,0.5210210766503277,0.5350517983505657
online,anti,count,0.5308528539641749,0.5278015893001258,0.533980779218482
