regime,metric,contrast,mean_diff,simultaneous_ci_low,simultaneous_ci_high,cohens_dz,permutation_p,individual_confidence,holm_p
frozen,hacking_rate,epistemic - aleatoric,-0.005416666666666668,-0.014437586805555564,0.003687499999999996,-0.22062632106995114,0.12421875781242188,0.9916666666666667,0.24843751562484376
frozen,hacking_rate,epistemic - total,-0.0007916666666666721,-0.007645833333333336,0.006312586805555537,-0.04155600738104324,0.7651023489765102,0.9916666666666667,0.7651023489765102
frozen,hacking_rate,epistemic - shuffled,0.0579375,0.0390415798611111,0.077375,1.1319181671719611,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,hacking_rate,epistemic - uniform,0.0539375,0.039208246527777775,0.06868758680555555,1.353833915408114,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,hacking_rate,epistemic - count,0.06785416666666666,0.054541666666666655,0.08129166666666666,1.843973157402542,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,hacking_rate,epistemic - point,0.04835416666666666,0.037229079861111104,0.05922916666666666,1.6331699432265185,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,hacking_rate,epistemic - aleatoric,-0.026208333333333337,-0.03743758680555557,-0.015458246527777803,-0.8826022478164326,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,hacking_rate,epistemic - total,-0.0015416666666666686,-0.007562500000000001,0.0043334201388888684,-0.09450855465399345,0.5035849641503585,0.9916666666666667,0.5035849641503585
online,hacking_rate,epistemic - shuffled,0.01947916666666667,0.011833246527777765,0.0271875,0.9412517524870481,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,hacking_rate,epistemic - uniform,0.01920833333333333,0.0020416666666666673,0.03668749999999999,0.4063455133340092,0.005459945400545995,0.9916666666666667,0.01091989080109199
online,hacking_rate,epistemic - count,0.03272916666666667,0.02554166666666667,0.0399375,1.683786259195719,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,hacking_rate,epistemic - point,0.017854166666666664,0.011604166666666664,0.024749999999999998,0.9954183513999703,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
