regime,layout,contrast,mean_diff,ci_low,ci_high
frozen,aligned,epistemic - aleatoric,0.029923434459683325,0.02545102590006181,0.03457883432790142
frozen,aligned,epistemic - total,0.009234449587881199,0.0063184584799589145,0.012100083560970774
frozen,aligned,epistemic - shuffled,0.07581551477101231,0.07030561070594302,0.08138857072326816
frozen,aligned,epistemic - uniform,0.07722900454321058,0.07078606548780524,0.08377308588776153
frozen,aligned,epistemic - count,0.07516156530560879,0.07047080388680373,0.07966976237533974
frozen,aligned,epistemic - point,0.07192904099951132,0.06732807043246457,0.07652800196527003
frozen,decorrelated,epistemic - aleatoric,0.00015822487664317707,-0.004445751714326594,0.0046540725301386695
frozen,decorrelated,epistemic - total,0.00020943772188293796,-0.002213610449649897,0.002649572408256301
frozen,decorrelated,epistemic - shuffled,-0.004113697125981505,-0.011462179605375046,0.003283412339602917
frozen,decorrelated,epistemic - uniform,-0.0004867917907164965,-0.006566526550310035,0.005477710784100898
frozen,decorrelated,epistemic - count,-0.0038319680237712175,-0.007827802071245083,0.00029689961960198207
frozen,decorrelated,epistemic - point,-0.003588124394862813,-0.0073406073502479,0.00031174181150769886
frozen,anti,epistemic - aleatoric,-0.029923434459683314,-0.03462012750257186,-0.02552432243246247
frozen,anti,epistemic - total,-0.009234449587881161,-0.012041001663868749,-0.006355144623820464
frozen,anti,epistemic - shuffled,-0.07581551477101225,-0.08140091589952371,-0.07042835469756367
frozen,anti,epistemic - uniform,-0.07722900454321052,-0.08370355899901451,-0.07077417979504297
frozen,anti,epistemic - count,-0.07516156530560876,-0.07956877658471698,-0.07037692177021335
frozen,anti,epistemic - point,-0.07192904099951127,-0.07647723153175438,-0.0672668249231924
online,aligned,epistemic - aleatoric,-0.020980543124696233,-0.025903953121445004,-0.015872726317591623
online,aligned,epistemic - total,-0.0033153758433547707,-0.006758836455432911,9.285901607345835e-05
online,aligned,epistemic - shuffled,0.02841129242965894,0.023588505725626766,0.03330588367142518
online,aligned,epistemic - uniform,0.02387261293319821,0.016509999232156385,0.030967532540786748
online,aligned,epistemic - count,0.03438438074624811,0.03056915988598963,0.0381472861880035
online,aligned,epistemic - point,0.02737752929870293,0.023535661478621735,0.03110538832204571
online,decorrelated,epistemic - aleatoric,0.00017240802992896432,-0.004572418868802912,0.004978913772983246
online,decorrelated,epistemic - total,-0.0015994486677614183,-0.005403030341770809,0.002117710551368459
online,decorrelated,epistemic - shuffled,-0.0031327676640382795,-0.006999534257636468,0.000783221765365006
online,decorrelated,epistemic - uniform,-0.005743123779836776,-0.012676610466488516,0.0014399348016072707
online,decorrelated,epistemic - count,0.0006581560611661697,-0.0030844601990419954,0.004473877858344881
online,decorrelated,epistemic - point,-0.00019790948035658062,-0.004339721145341347,0.004051646341013541
online,anti,epistemic - aleatoric,0.015992383758477974,0.011151730103893103,0.02075122536448566
online,anti,epistemic - total,0.002052514873946457,-0.0008993599524219452,0.005011257128933129
online,anti,epistemic - shuffled,-0.026722418988643755,-0.030535304077175168,-0.022917343536950973
online,anti,epistemic - uniform,-0.021014264599546653,-0.027242282669218285,-0.0147647410206688
online,anti,epistemic - count,-0.023758838929648262,-0.026860184801177484,-0.02058230239385175
online,anti,epistemic - point,-0.025564265757384793,-0.028528175933519518,-0.022540285293676885
