regime,metric,contrast,mean_diff,simultaneous_ci_low,simultaneous_ci_high,cohens_dz,permutation_p,individual_confidence,holm_p
frozen,return_auc,epistemic - aleatoric,-0.014882604791520078,-0.019782009741100254,-0.010406810111689693,-1.1636532586047377,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,return_auc,epistemic - total,-0.004512505932999131,-0.007268187147021767,-0.0016092547865548944,-0.5870609924454515,0.00014999850001499985,0.9916666666666667,0.00014999850001499985
frozen,return_auc,epistemic - shuffled,-0.03996460594849689,-0.04645816338399508,-0.03386346852057185,-2.3407542751368866,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,return_auc,epistemic - uniform,-0.0388578981669635,-0.044791116407947466,-0.03259135579475456,-2.353810286974123,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,return_auc,epistemic - count,-0.039496766664689986,-0.043750423833633305,-0.03508408471300514,-3.334916396981782,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
frozen,return_auc,epistemic - point,-0.03775858269718705,-0.041608446071910166,-0.033769851515977646,-3.5354673953260587,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,return_auc,epistemic - aleatoric,0.008082395894203478,0.0030245601886111466,0.013119141624711854,0.5968167859477811,0.00014999850001499985,0.9916666666666667,0.0002999970000299997
online,return_auc,epistemic - total,0.00022653310309252216,-0.003058056868569006,0.0036312413346208786,0.02527008354358443,0.8593614063859362,0.9916666666666667,0.8593614063859362
online,return_auc,epistemic - shuffled,-0.014927593326341011,-0.018538061532573296,-0.011339890693156985,-1.519830146613181,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,return_auc,epistemic - uniform,-0.013378694189691714,-0.01991567922047114,-0.006588531572224219,-0.7424438349144326,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,return_auc,epistemic - count,-0.01155034143424105,-0.014722756728823144,-0.008430768372675305,-1.3512848744893118,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
online,return_auc,epistemic - point,-0.012881087618870692,-0.01602868625912874,-0.009621821129766258,-1.492416964925524,9.99990000099999e-06,0.9916666666666667,5.999940000599994e-05
