seed,severity,layout,signal,regime,return_auc,final_window_return,hacking_rate,rm_mae_auc,rm_mae_final,epi_reward_spearman
100000,1,aligned,epistemic,frozen,0.5705747882148321,0.5615243491090638,0.06875,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,aleatoric,frozen,0.5252421230500072,0.49921396033250137,0.08125,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,total,frozen,0.5846667814761227,0.5529882558561086,0.06875,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,point,frozen,0.5343996955505727,0.540769397631774,0.1,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,shuffled,frozen,0.5071814950578969,0.5062911080095105,0.1125,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,uniform,frozen,0.4942845244529668,0.5247551642936538,0.1625,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,count,frozen,0.5069061147816141,0.48753168164520916,0.14375,0.1681369544451943,0.1681369544451943,1.0
100000,1,aligned,epistemic,online,0.5824814909112785,0.592554539459975,0.05,0.1520520758836959,0.14973847668555942,1.0
100000,1,aligned,aleatoric,online,0.6135222954397458,0.6023419756571181,0.05625,0.15399806037803773,0.14512432978805004,1.0
100000,1,aligned,total,online,0.5624670917865411,0.5653052423470136,0.06875,0.151069275590513,0.1506045198606098,1.0
100000,1,aligned,point,online,0.5506648286320707,0.5512858718727902,0.1125,0.15069860828558634,0.14456190714552933,1.0
100000,1,aligned,shuffled,online,0.5017136869580072,0.493417427838588,0.13125,0.1527795033265215,0.14798219115880576,1.0
100000,1,aligned,uniform,online,0.46520060460783785,0.4910538874527447,0.15625,0.15762295139515498,0.148747492377553,1.0
100000,1,aligned,count,online,0.5308119760245218,0.575787136786493,0.1,0.15247185912599895,0.14675815570422227,1.0
100000,1,decorrelated,epistemic,frozen,0.5072789959210283,0.4989731070761695,0.2125,0.18816224776036244,0.18816224776036247,0.04895104895104895
100000,1,decorrelated,aleatoric,frozen,0.4951962813404972,0.4285729104518836,0.08125,0.18288262427983454,0.18288262427983457,0.027972027972027972
100000,1,decorrelated,total,frozen,0.5131951108006122,0.5030382154211006,0.09375,0.1762150704193292,0.17621507041932918,0.04195804195804196
100000,1,decorrelated,point,frozen,0.5387304483611665,0.5320899818495363,0.125,0.16654012437433702,0.16654012437433705,0.04195804195804196
100000,1,decorrelated,shuffled,frozen,0.5450601557672765,0.5776882266031287,0.0,0.1718532914881587,0.17185329148815867,0.034965034965034975
100000,1,decorrelated,uniform,frozen,0.4225399118945843,0.44498170052608244,0.2875,0.1780233087468799,0.1780233087468799,-0.02097902097902098
100000,1,decorrelated,count,frozen,0.546705039657265,0.5631301445194082,0.0,0.15747910726062322,0.15747910726062322,0.04895104895104895
100000,1,decorrelated,epistemic,online,0.48545105105499253,0.5093137574003853,0.2625,0.17435669005906854,0.1607183793005235,0.04895104895104895
100000,1,decorrelated,aleatoric,online,0.5087843244469952,0.5383274692281868,0.05,0.17196966377796236,0.16825703748010615,0.027972027972027972
100000,1,decorrelated,total,online,0.496003177510343,0.45795582159221865,0.1125,0.15884838478059118,0.15193405037089494,0.04195804195804196
100000,1,decorrelated,point,online,0.546902980524186,0.5895586297821092,0.1,0.15033723821621922,0.1537378688217104,0.04195804195804196
100000,1,decorrelated,shuffled,online,0.5559693171128763,0.5178290076155851,0.0,0.15759631166567076,0.15304805071172503,0.034965034965034975
100000,1,decorrelated,uniform,online,0.44248995935165175,0.5212647651978392,0.25,0.17015203604117596,0.15256809337435048,-0.02097902097902098
100000,1,decorrelated,count,online,0.5416719926264951,0.5461728895638881,0.0,0.1452427337921948,0.14034715664087224,0.04895104895104895
100000,1,anti,epistemic,frozen,0.46677099906735153,0.4892553522726869,0.16875,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,aleatoric,frozen,0.5023867439925971,0.501681058248422,0.15,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,total,frozen,0.46553327527838073,0.527761128103657,0.2375,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,point,frozen,0.5133740892578931,0.5043619918414312,0.14375,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,shuffled,frozen,0.5114828917984537,0.5452750106559329,0.15,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,uniform,frozen,0.540939515716914,0.5372882643917911,0.05625,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,count,frozen,0.527995932466602,0.49721518988119284,0.09375,0.1656960213857843,0.1656960213857843,-1.0
100000,1,anti,epistemic,online,0.5235157529424399,0.538629859256289,0.075,0.15327482398650924,0.14649685266614915,-1.0
100000,1,anti,aleatoric,online,0.5113980583046193,0.5308520316445662,0.1125,0.15099096677953647,0.1429832376479464,-1.0
100000,1,anti,total,online,0.49633210491376484,0.5067943798280405,0.1125,0.15521023731523792,0.1481416277050321,-1.0
100000,1,anti,point,online,0.5295758725424313,0.5319331099052571,0.0625,0.1513860591377484,0.14203274896517873,-1.0
100000,1,anti,shuffled,online,0.5162110736364174,0.49922257763040745,0.1625,0.15208740262744339,0.14242096547727626,-1.0
100000,1,anti,uniform,online,0.5495204396189461,0.5445931207016872,0.10625,0.15343735682651227,0.14521551166584742,-1.0
100000,1,anti,count,online,0.5390145841272447,0.5549919331428431,0.08125,0.15482270639337292,0.14676831332570353,-1.0
100000,2,aligned,epistemic,frozen,0.5870643186008742,0.5831902737644071,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,aleatoric,frozen,0.5786758568772491,0.5566608714154053,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,total,frozen,0.6123264684641836,0.60468981681441,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,point,frozen,0.5357835506763868,0.5082342628735577,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,shuffled,frozen,0.5546463670903312,0.5203367077866722,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,uniform,frozen,0.4865954960744623,0.5262146841662052,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,count,frozen,0.5429818614730872,0.564013409309937,0.0,0.16547314906471614,0.16547314906471616,1.0
100000,2,aligned,epistemic,online,0.595570439747436,0.5796693460765747,0.0,0.14905581372941817,0.13840178742264436,1.0
100000,2,aligned,aleatoric,online,0.5871309576829805,0.6053091883075525,0.0,0.1455214967439802,0.13791642717520444,1.0
100000,2,aligned,total,online,0.5948910849679805,0.5733729010405156,0.0,0.14232485864953442,0.13456524445554907,1.0
