family,contrast,mean,simultaneous_low,simultaneous_high,cohens_dz,permutation_p,individual_confidence,holm_p
H3a,return:pko-pk,0.0005420339206854494,1.0808215880145458e-05,0.001433437095303081,0.2753403427873798,0.017839821601783983,0.99375,0.08919910800891992
H3a,return:pko-o,-0.00208970960353812,-0.00577718209926583,-0.00022307043057711307,-0.2660408327345627,9.99990000099999e-06,0.99375,7.999920000799993e-05
H3a,return:pko-po,-0.005017849061638123,-0.01299160584935842,-0.0005487984252239966,-0.28917386363123443,9.99990000099999e-06,0.99375,7.999920000799993e-05
H3a,return:pko-ko,0.0003739903767903656,7.586390372986625e-05,0.0008322679799981412,0.3713661441065686,4.999950000499995e-05,0.99375,0.0002999970000299997
H3a,return:I3,-3.690549234549503e-05,-0.0006499467112744911,0.000440979266725478,-0.025933310210679173,0.8645613543864561,0.99375,0.8645613543864561
H3a,collection_goal:pko-pk,-0.002514730639730631,-0.011101148200757567,0.005414562289562287,-0.11758636038626184,0.43016569834301654,0.99375,0.8603313966860331
H3a,hacking:o-pko,-0.0003750000000000009,-0.0011933333333333396,-3.333333333332966e-06,-0.21636074892387192,0.031789682103178965,0.99375,0.12715872841271586
H3a,hacking_NI:pko-pk,-0.00012166666666666549,-0.00044500000000000095,0.0,-0.185651936665455,0.24970750292497074,0.99375,0.7491225087749123
