family,contrast,mean,simultaneous_low,simultaneous_high,cohens_dz,permutation_p,individual_confidence,holm_p
H3b,I3:controlled-shuffled,-0.0005489289313554808,-0.0017827356338190644,0.00024701525714868646,-0.16505288525824585,0.4097059029409706,0.975,0.4097059029409706
H3b,I3:controlled-anti,-0.0009566477385039248,-0.00262729245697459,9.308787959937241e-05,-0.21279402878016912,0.12850871491285087,0.975,0.25701742982570175
