seed,severity,layout,signal,regime,return_auc,final_window_return,hacking_rate,rm_mae_auc,rm_mae_final,epi_reward_spearman
60000,1,aligned,epistemic,frozen,0.6097871169021845,0.5706937380506385,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,aleatoric,frozen,0.5486656505120695,0.5078730793768264,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,total,frozen,0.5842083787538142,0.5563868301546948,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,point,frozen,0.5296769421794497,0.5055363658334422,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,shuffled,frozen,0.5128297241079898,0.5067220206520735,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,uniform,frozen,0.5410251226922073,0.5207843156007117,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,count,frozen,0.5438091309836709,0.5905671889523842,0.0,0.17437998775461144,0.17437998775461142,1.0
60000,1,aligned,epistemic,online,0.5818451973085602,0.608384700679635,0.0,0.1452609137803139,0.14167701382254444,1.0
60000,1,aligned,aleatoric,online,0.5922216119857898,0.5677653978538355,0.0,0.1497494231752799,0.13879203733777054,1.0
60000,1,aligned,total,online,0.5418804311968296,0.5428733842096256,0.0,0.14431193254369862,0.13141299635414974,1.0
60000,1,aligned,point,online,0.5319676742289035,0.5369651294314516,0.0,0.15060331416488237,0.14727894434495922,1.0
60000,1,aligned,shuffled,online,0.5069350546477602,0.49491071057455027,0.0,0.1516554194877139,0.1422514687234213,1.0
60000,1,aligned,uniform,online,0.5764660903181957,0.5921145322035655,0.0,0.1451521862244603,0.13274968606321502,1.0
60000,1,aligned,count,online,0.5550756828419647,0.5859172396873539,0.0,0.14686826519708102,0.1330620412972886,1.0
60000,1,decorrelated,epistemic,frozen,0.5587986171198701,0.5712498731639654,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,aleatoric,frozen,0.543189228343963,0.5359268495428946,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,total,frozen,0.557403915377242,0.5553947646285862,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,point,frozen,0.5571227238271574,0.593385466023819,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,shuffled,frozen,0.5614093055960414,0.5577335490729883,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,uniform,frozen,0.5402597872891517,0.5732551737198205,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,count,frozen,0.5363491762658679,0.5334524034594479,0.0,0.1537994372684471,0.15379943726844714,-0.027972027972027972
60000,1,decorrelated,epistemic,online,0.5557585592146881,0.5768124898988205,0.0,0.12599736279213541,0.12247907212435633,-0.027972027972027972
60000,1,decorrelated,aleatoric,online,0.5622200141559004,0.5338596778563776,0.0,0.12891678903528941,0.11612799296819394,-0.027972027972027972
60000,1,decorrelated,total,online,0.5564564781307528,0.5692026834539002,0.0,0.12521510107386863,0.11511437509447447,-0.027972027972027972
60000,1,decorrelated,point,online,0.5719128846902641,0.5676903594192395,0.0,0.12913924594058823,0.12082751747723382,-0.027972027972027972
60000,1,decorrelated,shuffled,online,0.5604067021365433,0.5656751363353439,0.0,0.12468784166097527,0.12140215144214805,-0.027972027972027972
60000,1,decorrelated,uniform,online,0.5299271778744746,0.5394110176045643,0.0,0.12761633630587282,0.11834468681323185,-0.027972027972027972
60000,1,decorrelated,count,online,0.5504250572824876,0.5129326156674298,0.0,0.12544738430912425,0.11760975207784052,-0.027972027972027972
60000,1,anti,epistemic,frozen,0.4402128830978155,0.47930626194936143,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,aleatoric,frozen,0.5013343494879304,0.5421269206231736,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,total,frozen,0.465791621246186,0.49361316984530534,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,point,frozen,0.5203230578205502,0.5444636341665577,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,shuffled,frozen,0.5371702758920102,0.5432779793479265,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,uniform,frozen,0.5089748773077927,0.5292156843992883,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,count,frozen,0.506190869016329,0.4594328110476159,0.0,0.16887295181592293,0.16887295181592296,-1.0
60000,1,anti,epistemic,online,0.5282941879947819,0.5101015795711197,0.0,0.147523599567473,0.13719984688344405,-1.0
60000,1,anti,aleatoric,online,0.48445377238150755,0.5008179743216241,0.0,0.14785846424386564,0.14056127221595374,-1.0
60000,1,anti,total,online,0.5300333435691436,0.5458943890996493,0.0,0.14747549255270526,0.13372529668361974,-1.0
60000,1,anti,point,online,0.5546687413895699,0.5555336865246012,0.0,0.14363511852278216,0.13827145139261307,-1.0
60000,1,anti,shuffled,online,0.5606281517426716,0.591981418219053,0.0,0.15016328214965816,0.15807593186660296,-1.0
60000,1,anti,uniform,online,0.5152271495625376,0.5133526907383079,0.0,0.14802927156431672,0.13889993770762363,-1.0
60000,1,anti,count,online,0.5241106558098885,0.5393061169433955,0.0,0.1443337493481244,0.13354578610104573,-1.0
60000,2,aligned,epistemic,frozen,0.5794735555919381,0.562488049575439,0.1125,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,aleatoric,frozen,0.5696736408764804,0.5407338463965675,0.06875,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,total,frozen,0.557328273488341,0.5167042762992885,0.1125,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,point,frozen,0.5113817162304544,0.49539477746802857,0.13125,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,shuffled,frozen,0.5539535072943592,0.5153921697672149,0.075,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,uniform,frozen,0.5334698627276062,0.5280473160061383,0.1125,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,count,frozen,0.5299811230190887,0.5462577687133481,0.1625,0.18777869399358965,0.18777869399358962,1.0
60000,2,aligned,epistemic,online,0.5604047545255897,0.5980073668193435,0.10625,0.15017476285492254,0.14622113061384215,1.0
60000,2,aligned,aleatoric,online,0.6073064815518163,0.590186718154998,0.04375,0.1535222123867623,0.1411261980402548,1.0
